,Name,Type,Nominations,Wins,Awards,Performances
16,"Natasha, Pierre & The Great Comet of 1812",Musical+Original,27,13,"['Chita Rivera Awards + Winner + Outstanding Ensemble in a Broadway Show', 'Drama Desk Award + Winner + Outstanding Sound Design of a Musical', 'Drama Desk Award + Winner + Outstanding Lighting Design for a Musical', 'Drama Desk Award + Winner + Outstanding Set Design for a Musical', 'Drama Desk Award + Winner + Outstanding Director of a Musical', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Outstanding Musical', 'Outer Critics Circle + Winner + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Sound Design', 'Outer Critics Circle + Winner + Outstanding Lighting Design', 'Theatre World Awards + Winner + Special Theatre World Award', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Winner + Best Lighting Design of a Musical', 'Tony Award + Nominee + Best Costume Design of a Musical', 'Tony Award + Winner + Best Scenic Design of a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Musical']",336
17,Alton Brown Live: Eat Your Science,Original,0,0,[],8
18,The Illusionists — Turn of the Century,Theatrical Experience+Original,0,0,[],57
19,A Bronx Tale The Musical,Musical+Original,7,0,"['Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Book of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Score', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical']",700
20,Dear Evan Hansen,Musical+Original,12,8,"['Drama League + Winner + Outstanding Musical', 'Drama League + Winner + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Tony Award + Winner + Best Musical', 'Tony Award + Winner + Best Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Winner + Best Featured Actress in a Musical', 'Tony Award + Winner + Best Book of a Musical', 'Tony Award + Winner + Best Original Score', 'Tony Award + Nominee + Best Lighting Design of a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Winner + Outstanding Orchestrations']",1538
21,In Transit,Original,0,0,[],145
22,The Present,Play+Original,3,0,"['Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Drama League + Nominee + Distinguished Performance', 'Tony Award + Nominee + Best Actress in a Play']",81
23,Jitney,Drama+Original,16,7,"['Drama Desk Award + Winner + Outstanding Revival of a Play', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Drama Desk Award + Winner + Outstanding Director of a Play', 'Drama Desk Award + Winner + Outstanding Music in a Play', 'Drama Desk Award + Nominee + Outstanding Set Design for a Play', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Play', 'Drama League + Winner + Outstanding Revival of a Play', 'Drama League + Nominee + Distinguished Performance', ""New York Drama Critics' Circle + Winner + Special Citation"", 'Outer Critics Circle + Winner + Outstanding Revival of a Play', 'Tony Award + Winner + Best Revival of a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Scenic Design of a Play', 'Tony Award + Nominee + Best Costume Design of a Play', 'Tony Award + Nominee + Best Lighting Design of a Play', 'Tony Award + Nominee + Best Direction of a Play']",62
24,Sunset Boulevard,Musical+Revival,4,1,"['Drama Desk Award + Nominee + Outstanding Lighting Design for a Musical', 'Drama League + Nominee + Outstanding Revival of a Musical', 'Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Theatre World Awards + Winner + John Willis Award for Lifetime Achievement']",138
25,Sunday in the Park with George,Musical+Revival,0,0,[],61
26,Significant Other,Play+Original,1,0,['Drama League + Nominee + Distinguished Performance'],61
27,The Glass Menagerie,Drama+Revival,3,0,"['Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Nominee + Best Actress in a Play']",85
28,Come From Away,Musical+One Act+Original,26,9,"['Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Drama Desk Award + Winner + Outstanding Book of a Musical', 'Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Musical', 'Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Lyrics', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Winner + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Musical', 'Drama League + Nominee + Outstanding Musical', 'Outer Critics Circle + Winner + Outstanding New Broadway Musical', 'Outer Critics Circle + Winner + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding Sound Design', 'Outer Critics Circle + Nominee + Outstanding Choreographer', 'Outer Critics Circle + Winner + Outstanding Director of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Score', 'Outer Critics Circle + Winner + Outstanding Book of a Musical', 'Tony Award + Winner + Best Direction of a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Lighting Design of a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Musical']",1518
29,The Price,Play+Revival,6,2,"['Drama Desk Award + Winner + Outstanding Featured Actor in a Play', 'Drama League + Nominee + Outstanding Revival of a Play', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Winner + Outstanding Featured Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play']",69
30,Miss Saigon,Musical+Revival,8,2,"['Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama League + Nominee + Outstanding Revival of a Musical', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Revival of a Musical', 'Tony Award + Nominee + Best Actress in a Musical']",340
31,Sweat,Play+Original,12,2,"['Drama Desk Award + Nominee + Outstanding Play', 'Drama Desk Award + Winner + Outstanding Fight Choreography', 'Drama League + Nominee + Outstanding Play', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Play', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play']",105
32,The Play That Goes Wrong,Play+Original,4,2,"['Drama Desk Award + Winner + Outstanding Set Design for a Play', 'Drama League + Nominee + Outstanding Play', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Tony Award + Winner + Best Scenic Design of a Play']",737
33,"Amélie, A New Musical",Musical+Original,1,0,['Drama League + Nominee + Outstanding Musical'],56
34,Present Laughter,Revival,12,4,"['Drama Desk Award + Winner + Outstanding Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Play', 'Drama Desk Award + Nominee + Outstanding Wig and Hair Design', 'Drama League + Nominee + Outstanding Revival of a Play', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Winner + Outstanding Actor in a Play', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Revival of a Play', 'Tony Award + Winner + Best Actor in a Play', 'Tony Award + Nominee + Best Costume Design of a Play']",101
35,War Paint,Musical+Original,16,3,"['Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Lyrics', 'Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Winner + Outstanding Costume Design of a Musical', 'Drama Desk Award + Nominee + Outstanding Sound Design of a Musical', 'Drama Desk Award + Winner + Outstanding Wig and Hair Design', 'Drama League + Nominee + Outstanding Musical', 'Outer Critics Circle + Winner + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Scenic Design of a Musical', 'Tony Award + Nominee + Best Costume Design of a Musical']",236
36,Oslo,Play+Original,16,6,"['Drama Desk Award + Winner + Outstanding Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama League + Winner + Outstanding Play', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', ""New York Drama Critics' Circle + Winner + Best Play"", 'Outer Critics Circle + Winner + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Projection Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Tony Award + Winner + Best Play', 'Tony Award + Nominee + Best Actor in a Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Winner + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Scenic Design of a Play', 'Tony Award + Nominee + Best Lighting Design of a Play', 'Tony Award + Nominee + Best Direction of a Play']",109
37,Groundhog Day,Musical+Original,17,3,"['Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Outstanding Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Score', 'Outer Critics Circle + Nominee + Outstanding Book of a Musical', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Scenic Design of a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Musical']",176
38,Indecent,Play+Original,13,5,"['Drama Desk Award + Nominee + Outstanding Play', 'Drama Desk Award + Winner + Outstanding Lighting Design for a Play', 'Drama League + Nominee + Outstanding Play', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Winner + Outstanding Director of a Play', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Projection Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Play', 'Theatre World Awards + Winner + Dorothy Loudon Award for Excellence', 'Tony Award + Nominee + Best Play', 'Tony Award + Winner + Best Lighting Design of a Play', 'Tony Award + Winner + Best Direction of a Play']",128
39,The Little Foxes,Drama+Revival,22,7,"['Drama Desk Award + Winner + Outstanding Featured Actress in a Play', 'Drama Desk Award + Nominee + Outstanding Wig and Hair Design', 'Drama Desk Award + Nominee + Outstanding Lighting Design for a Play', 'Drama Desk Award + Winner + Outstanding Costume Design of a Play', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Winner + Outstanding Actress in a Play', 'Drama Desk Award + Nominee + Outstanding Revival of a Play', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Winner + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Winner + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Winner + Best Costume Design of a Play', 'Tony Award + Winner + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Nominee + Best Revival of a Play']",87
40,"Hello, Dolly!",Musical+Revival,35,14,"['Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Set Design for a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Musical', 'Drama Desk Award + Nominee + Outstanding Sound Design of a Musical', 'Drama Desk Award + Nominee + Outstanding Wig and Hair Design', 'Drama Desk Award + Winner + Outstanding Revival of a Musical', 'Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama League + Winner + Outstanding Revival of a Musical', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Winner + Outstanding Choreographer', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Winner + Outstanding Orchestrations', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Revival of a Musical', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Winner + Best Revival of a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Winner + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Scenic Design of a Musical', 'Tony Award + Winner + Best Costume Design of a Musical', 'Tony Award + Nominee + Best Lighting Design of a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Orchestrations']",550
41,Charlie and the Chocolate Factory,Musical+Original,4,1,"['Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Drama Desk Award + Winner + Outstanding Puppet Design', 'Drama League +  + Distinguished Performance']",305
42,Anastasia,Musical+Original,28,3,"['Chita Rivera Awards + Nominee + Outstanding Male Dancer in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Sound Design of a Musical', 'Drama Desk Award + Winner + Outstanding Projection Design', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Musical', 'Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Book of a Musical', 'Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Musical', 'Drama League + Nominee + Outstanding Musical', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Orchestrations', 'Outer Critics Circle + Winner + Outstanding Projection Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Nominee + Outstanding New Score', 'Outer Critics Circle + Nominee + Outstanding Book of a Musical', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Costume Design of a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical']",808
43,Six Degrees of Separation,Revival,6,0,"['Drama League + Nominee + Outstanding Revival of a Play', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Nominee + Best Revival of a Play', 'Tony Award + Nominee + Best Actor in a Play']",63
44,Bandstand,Original,20,4,"['Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Male Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Male Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Chita Rivera Awards + Winner + Outstanding Choreography in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Musical', 'Drama Desk Award + Nominee + Outstanding Lighting Design for a Musical', 'Drama Desk Award + Winner + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Book of a Musical', 'Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Winner + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Outstanding Musical', 'Outer Critics Circle + Nominee + Outstanding Choreographer', 'Outer Critics Circle + Nominee + Outstanding Orchestrations', 'Outer Critics Circle + Nominee + Outstanding Sound Design', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Winner + Best Choreography']",166
45,1984,Play+Original,4,0,"['Drama Desk Award + Nominee + Outstanding Lighting Design for a Play', 'Drama Desk Award + Nominee + Outstanding Sound Design of a Play', 'Outer Critics Circle + Nominee + Outstanding Projection Design', 'Tony Award + Nominee + Best Sound Design of a Play']",125
46,Marvin's Room,Play+Original,0,0,[],68
47,Michael Moore: The Terms of My Surrender,Play+Original,0,0,[],83
48,Prince of Broadway,Musical+Original,9,1,"['Chita Rivera Awards + Winner + Outstanding Male Dancer in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Set Design for a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Orchestrations', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical']",76
49,Time and the Conways,Play+Revival,1,0,['Outer Critics Circle + Nominee + Outstanding Costume Design'],56
50,Springsteen On Broadway,Concert+Original,0,0,[],229
51,M. Butterfly,Revival,0,0,[],61
52,Junk,Play+Original,3,0,"['Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Tony Award + Nominee + Best Play', 'Tony Award + Nominee + Best Lighting Design of a Play']",77
53,The Band's Visit,Musical+Original,18,14,"['Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Drama Desk Award + Winner + Outstanding Sound Design of a Musical', 'Drama League + Winner + Outstanding Production of a Broadway or Off-Broadway Musical', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Tony Award + Winner + Best Featured Actor in a Musical', 'Tony Award + Winner + Best Orchestrations', 'Tony Award + Winner + Best Direction of a Musical', 'Tony Award + Winner + Best Sound Design of a Musical', 'Tony Award + Winner + Best Lighting Design of a Musical', 'Tony Award + Nominee + Best Scenic Design of a Musical', 'Tony Award + Winner + Best Original Score', 'Tony Award + Winner + Best Original Score', 'Tony Award + Winner + Best Book of a Musical', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Winner + Best Actor in a Musical', 'Tony Award + Winner + Best Musical', 'Tony Award + Winner + Best Musical']",556
54,Latin History for Morons,One Act+Original,1,0,['Tony Award + Nominee + Best Play'],83
55,Home for the Holidays,Original,0,0,[],47
56,Meteor Shower,Play+Revival,4,0,"['Drama League + Nominee + Outstanding Production of a Broadway or Off-Broadway Play', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Tony Award + Nominee + Best Actress in a Play']",61
57,The Parisian Woman,Play+Original,0,0,[],116
58,Once On This Island,Musical+Revival,28,3,"['Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Musical', 'Drama Desk Award + Winner + Outstanding Lighting Design for a Musical', 'Drama Desk Award + Nominee + Outstanding Set Design for a Musical', 'Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Revival of a Musical', 'Drama League + Nominee + Outstanding Revival of a Broadway or Off-Broadway Musical', 'Drama League + Nominee + Distinguished Performance', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Orchestrations', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Choreographer', 'Outer Critics Circle + Nominee + Outstanding Director of a Musical', 'Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Theatre World Awards + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Best Orchestrations', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Sound Design of a Musical', 'Tony Award + Nominee + Best Lighting Design of a Musical', 'Tony Award + Nominee + Best Costume Design of a Musical', 'Tony Award + Nominee + Best Scenic Design of a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Winner + Best Revival of a Musical']",457
