,Name,Type,Nominations,Wins,Awards,Performances
46,A Christmas Carol,Original,1,1,['Drama Desk Award + Winner + Outstanding Solo Performance'],14
47,Two Shakespearean Actors,Original,9,1,"['Drama Desk Award + Winner + Outstanding Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Costume Design (Play or Musical)']",29
48,The Visit,Revival,5,1,"['Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Revival of a Play', 'Tony Award + Nominee + Revival (Play or Musical)', 'Tony Award + Nominee + Best Actress in a Play']",45
49,A Little Hotel on the Side,Revival,0,0,[],41
50,Crazy He Calls Me,Original,0,0,[],7
51,The Most Happy Fella,Revival,16,3,"['Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Revival', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Revival of a Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Revival (Play or Musical)', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Winner + Best Featured Actor in a Musical']",229
52,Crazy for You,Musical+Original,23,10,"['Drama Desk Award + Nominee + Outstanding Set Design', 'Drama Desk Award + Winner + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Orchestrations', 'Drama Desk Award + Winner + Outstanding Musical', 'Outer Critics Circle + Winner + Outstanding New Broadway Musical', 'Outer Critics Circle + Winner + Outstanding Choreography', 'Outer Critics Circle + Winner + Outstanding Set Design', 'Outer Critics Circle + Winner + Outstanding Costume Design', 'Outer Critics Circle + Winner + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Winner + Best Choreography', 'Tony Award + Winner + Costume Design (Play or Musical)', 'Tony Award + Winner + Musical']",1622
53,Private Lives,Comedy+Revival,0,0,[],37
54,Search and Destroy,Original,3,1,"['Drama Desk Award + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Nominee + Outstanding Debut Performance', 'Theatre World Awards + Winner + Theatre World Award']",46
55,Death and the Maiden,Original,3,1,"['Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Winner + Best Actress in a Play']",159
56,Four Baboons Adoring the Sun,Original,8,1,"['Drama Desk Award + Winner + Outstanding Sound Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Play']",38
57,The Master Builder,Revival,0,0,[],44
58,Conversations with My Father,Play+Original,6,2,"['Outer Critics Circle + Winner + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Director', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Tony Award + Winner + Best Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Direction of a Play']",402
59,Jake's Women,Original,4,2,"['Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Actor in a Play']",245
60,Hamlet,Drama+Revival,0,0,[],45
61,Five Guys Named Moe,Musical+Original,3,0,"['Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Book of a Musical']",445
62,A Streetcar Named Desire,Revival,5,1,"['Outer Critics Circle + Nominee + Outstanding Debut Performance', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Actor in a Play']",137
63,Two Trains Running,Original,13,7,"['Drama Desk Award + Winner + Outstanding Featured Actor in a Play', ""New York Drama Critics' Circle + Winner + Best American Play"", 'Outer Critics Circle + Winner + Outstanding Debut Performance', 'Outer Critics Circle + Winner + Outstanding Debut Performance', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Director', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Play', 'Tony Award + Winner + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play']",160
64,Guys and Dolls,Musical+Revival,22,14,"['Drama Desk Award + Winner + Outstanding Director of a Musical', 'Drama Desk Award + Winner + Outstanding Set Design', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Costume Design', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Winner + Outstanding Revival', 'Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Winner + Outstanding Revival of a Musical', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Tony Award + Winner + Best Direction of a Musical', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Winner + Revival (Play or Musical)', 'Tony Award + Winner + Scenic Design (Play or Musical)', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Choreography']",1143
65,Metro,Original,1,0,['Tony Award + Nominee + Best Original Score'],13
66,The High Rollers Social and Pleasure Club,Original,2,0,"['Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical']",13
67,Shimada,Original,0,0,[],4
68,Man of La Mancha,Musical+Revival,1,0,['Outer Critics Circle + Nominee + Outstanding Revival of a Musical'],108
69,Jelly's Last Jam,Original,28,11,"['Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Lighting Design', 'Drama Desk Award + Winner + Outstanding Orchestrations', 'Drama Desk Award + Winner + Outstanding Lyrics', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama Desk Award + Winner + Outstanding Book of a Musical', 'Drama Desk Award + Nominee + Outstanding Musical', 'Drama Desk Award + Winner + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Winner + Outstanding Choreography', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Winner + Best Featured Actress in a Musical', 'Tony Award + Winner + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Winner + Best Actor in a Musical', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Musical']",569
70,A Small Family Business,Original,3,0,"['Drama Desk Award + Nominee + Outstanding New Play', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Tony Award + Nominee + Scenic Design (Play or Musical)']",48
71,Falsettos,Musical+Original,10,3,"['Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Revival', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Musical', 'Tony Award + Winner + Best Book of a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Winner + Best Original Score', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Direction of a Musical']",486
72,Mike Nichols and Elaine May: Together Again on Broadway,Original,0,0,[],1
73,The 46th Annual Tony Awards - 1992,Original,0,0,[],1
74,The Price,Play+Revival,3,0,"['Drama Desk Award + Nominee + Outstanding Revival of a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Tony Award + Nominee + Revival (Play or Musical)']",46
75,Chinese Coffee,Revival,0,0,[],11
76,Salome,Drama+Revival,0,0,[],19
77,The Real Inspector Hound,One Act+Original,0,0,[],61
78,The Fifteen Minute Hamlet,One Act+Original,0,0,[],61
79,The Real Inspector Hound and the Fifteen Minute Hamlet,One Act+Original,0,0,[],61
80,Anna Karenina,Original,5,0,"['Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Actress in a Musical']",46
81,Oba Oba '93,Original,0,0,[],22
82,The Show Off,Revival,0,0,[],45
83,Solitary Confinement,Original,0,0,[],25
84,Gypsy Passion,Original,0,0,[],55
85,3 from Brooklyn,Original,0,0,[],45
86,Someone Who'll Watch Over Me,Original,6,3,"[""New York Drama Critics' Circle + Winner + Best Foreign Play"", 'Outer Critics Circle + Winner + Outstanding Debut Performance', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Actor in a Play']",232
87,The Seagull,Play+Revival,0,0,[],49
88,My Favorite Year,Original,8,3,"['Drama Desk Award + Winner + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Orchestrations', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Winner + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Actor in a Musical']",36
89,A Christmas Carol,Revival,0,0,[],22
90,Tommy Tune Tonite!,Original,0,0,[],10
91,Anna Christie,Drama+Revival,11,6,"['Drama Desk Award + Winner + Outstanding Revival of a Play', 'Drama Desk Award + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Debut Performance', 'Outer Critics Circle + Winner + Outstanding Revival of a Play', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Winner + Revival (Play or Musical)', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Nominee + Best Actor in a Play']",53
92,The Boys Choir of Harlem and Friends,Original,0,0,[],14
93,Saint Joan,Play+Revival,2,0,"['Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Nominee + Revival (Play or Musical)']",48
94,Fool Moon,Original,2,2,"['Drama Desk Award + Winner + Unique Theatrical Experience', 'Outer Critics Circle + Winner + Special Award']",215
95,The Goodbye Girl,Musical+Original,12,2,"['Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Lyrics', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Actor in a Musical']",188
96,The Sisters Rosensweig,Original,15,7,"['Drama Desk Award + Nominee + Outstanding New Play', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Winner + Outstanding Actress in a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Winner + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Director of a Play', 'Outer Critics Circle + Winner + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Actor in a Play', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Winner + Best Actress in a Play']",556
97,The Song of Jacob Zulu,Original,9,1,"['Drama Desk Award + Winner + Outstanding Music in a Play', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Actor in a Play']",53
98,Candida,Revival,1,0,['Tony Award + Nominee + Best Featured Actor in a Play'],45
